# Mass radius data for spheres in hydrostatic equilibrium, calculated using BICEPS (Haldemann et al. 2023).
# columns:
#    mtot  = total mass in [m_Earth]
#    r50   = transit radius in [m_Earth] boundary condition (1 mbar, 50 K)
#    r300  = transit radius in [m_Earth] boundary condition (1 mbar, 300 K)
#    r800  = transit radius in [m_Earth] boundary condition (1 mbar, 800 K)
#    r1500 = transit radius in [m_Earth] boundary condition (1 mbar, 1500 K)
#    r2000 = transit radius in [m_Earth] boundary condition (1 mbar, 2000 K)
# column labels:
# mtot,  r50,      r300,     r800,     r1500,    r2000 
0.100000, 0.395657, 0.395872, 0.397391, 0.404161, 0.410881
0.114546, 0.412479, 0.412747, 0.414369, 0.421253, 0.428379
0.131207, 0.429938, 0.430259, 0.431985, 0.438981, 0.446348
0.150292, 0.448081, 0.448435, 0.450255, 0.457359, 0.464813
0.172154, 0.466895, 0.467269, 0.469196, 0.476409, 0.483875
0.197195, 0.486352, 0.486805, 0.488824, 0.496134, 0.503574
0.225878, 0.506537, 0.507026, 0.509147, 0.516563, 0.523942
0.258734, 0.527419, 0.527968, 0.530169, 0.537680, 0.544990
0.296369, 0.549036, 0.549602, 0.551906, 0.559510, 0.566727
0.339478, 0.571386, 0.571998, 0.574378, 0.582066, 0.589175
0.388858, 0.594468, 0.595139, 0.597605, 0.605369, 0.612375
0.445420, 0.618359, 0.619069, 0.621606, 0.629441, 0.636326
0.510210, 0.643032, 0.643792, 0.646402, 0.654299, 0.661065
0.584424, 0.668521, 0.669328, 0.672006, 0.679963, 0.686611
0.669433, 0.694844, 0.695694, 0.698430, 0.706444, 0.712972
0.766807, 0.721981, 0.722875, 0.725682, 0.733754, 0.740160
0.878345, 0.749970, 0.750909, 0.753773, 0.761897, 0.768192
1.006107, 0.778797, 0.779767, 0.782697, 0.790877, 0.797062
1.152453, 0.808462, 0.809479, 0.812465, 0.820699, 0.826779
1.320087, 0.838981, 0.840027, 0.843070, 0.851355, 0.857334
1.512104, 0.870323, 0.871415, 0.874510, 0.882845, 0.888723
1.732051, 0.902498, 0.903621, 0.906772, 0.915160, 0.920949
1.983991, 0.935484, 0.936642, 0.939849, 0.948287, 0.953985
2.272578, 0.969271, 0.970469, 0.973723, 0.982209, 0.987826
2.603142, 1.003840, 1.005065, 1.008373, 1.016910, 1.022449
2.981789, 1.039167, 1.040418, 1.043779, 1.052365, 1.057826
3.415514, 1.075224, 1.076507, 1.079914, 1.088546, 1.093938
3.912327, 1.111982, 1.113288, 1.116745, 1.125425, 1.130751
4.481405, 1.149407, 1.150735, 1.154240, 1.162962, 1.168225
5.133260, 1.187465, 1.188809, 1.192361, 1.201127, 1.206332
5.879932, 1.226111, 1.227477, 1.231072, 1.239875, 1.245022
6.735214, 1.265313, 1.266696, 1.270330, 1.279167, 1.284259
7.714903, 1.305021, 1.306425, 1.310096, 1.318960, 1.324001
8.837096, 1.345207, 1.346624, 1.350327, 1.359213, 1.364204
10.122520, 1.385827, 1.387252, 1.390986, 1.399886, 1.404826
11.594919, 1.426842, 1.428280, 1.432036, 1.440943, 1.445829
13.281490, 1.468223, 1.469673, 1.473446, 1.482348, 1.487184
15.213385, 1.509948, 1.511404, 1.515186, 1.524076, 1.528857
17.426290, 1.551992, 1.553451, 1.557238, 1.566104, 1.570828
19.961079, 1.594341, 1.595799, 1.599587, 1.608414, 1.613083
22.864573, 1.636989, 1.638445, 1.642224, 1.651000, 1.655607
26.190403, 1.679931, 1.681384, 1.685150, 1.693864, 1.698406
30.000000, 1.723179, 1.724622, 1.728367, 1.737007, 1.741482
